company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
ANTQ LTD,09820656,dissolved,ltd,search-results#company,{'company_profile': '/company/09820656'},2023-08-08,2015-10-12,['64191'],,31 Orient Drive,Liverpool,L25 5NY,United Kingdom,,,2023,2015
EMPRA 123 LTD,09849770,dissolved,ltd,search-results#company,{'company_profile': '/company/09849770'},2017-12-19,2015-10-30,['64191'],,5 Edward Avenue,Newcastle-Under-Lyme,ST5 2HB,England,,,2017,2015
GCOL SERVICES LIMITED,09855009,dissolved,ltd,search-results#company,{'company_profile': '/company/09855009'},2023-05-09,2015-11-03,['64191'],,Bizspace Steel House Plot 4300 Solent Business Park,Fareham,PO15 7FP,,Hampshire,Whiteley,2023,2015
WATER ON MARS LIMITED,09867818,dissolved,ltd,search-results#company,{'company_profile': '/company/09867818'},2018-01-02,2015-11-11,['64191'],,54 Limpsfield Avenue,Thornton Heath,CR7 6BE,England,,,2018,2015
LOAKE CONSULTING LIMITED,09798847,dissolved,ltd,search-results#company,{'company_profile': '/company/09798847'},2017-01-31,2015-09-29,['64191'],,Tunwell Farm Bungalow,Rotherham,S66 8PW,United Kingdom,South Yorkshire,Carr,2017,2015
SAFFELL LTD,09803319,dissolved,ltd,search-results#company,{'company_profile': '/company/09803319'},2017-11-21,2015-10-01,['64191'],,52 Randolph Avenue Randolph Avenue,London,W9 1BE,England,,,2017,2015
JOYCE FINCH LIMITED,09808218,dissolved,ltd,search-results#company,{'company_profile': '/company/09808218'},2022-03-23,2015-10-03,['64191'],,C/O Wsm Mbi Coakley Llp 2nd Floor Shaw House,Guildford,GU1 3QT,England,Surrey,3 Tunsgate,2022,2015
AEX CONSULTANCY LIMITED,09824103,active,ltd,search-results#company,{'company_profile': '/company/09824103'},,2015-10-14,['64191'],,255 Abbey Road,Smethwick,B67 5NQ,England,,,,2015
GARY J ALLEN LTD,09826752,dissolved,ltd,search-results#company,{'company_profile': '/company/09826752'},2017-08-15,2015-10-15,['64191'],,58 Hilberry Avenue,Liverpool,L13 7ET,England,,Tuebrook,2017,2015
D'ALOIA CONSULTING LTD.,10309889,dissolved,ltd,search-results#company,{'company_profile': '/company/10309889'},2018-11-06,2016-08-03,"['64191', '65120', '70100', '70229']",,54a Rosslyn Hill,London,NW3 1ND,England,,,2018,2016
